Genre,Number of Games,Total Players,Average Playtime
385890,0,"100,000 .. 200,000",58
1559580,0,"100,000 .. 200,000",0
3433430,0,"100,000 .. 200,000",0
2026820,0,"100,000 .. 200,000",771
592260,0,"100,000 .. 200,000",2807
754050,0,"100,000 .. 200,000",0
759530,0,"100,000 .. 200,000",44
3347370,0,"100,000 .. 200,000",0
1453920,0,"100,000 .. 200,000",466
2232880,0,"100,000 .. 200,000",2056
2014500,0,"100,000 .. 200,000",0
602920,0,"100,000 .. 200,000",449
423890,0,"100,000 .. 200,000",124
1477630,0,"100,000 .. 200,000",0
406090,0,"100,000 .. 200,000",324
1779200,0,"100,000 .. 200,000",277
2941660,0,"100,000 .. 200,000",522
1534840,0,"100,000 .. 200,000",232
605230,0,"100,000 .. 200,000",6663
2168680,0,"100,000 .. 200,000",843
329280,0,"100,000 .. 200,000",76
555000,0,"100,000 .. 200,000",754
649900,0,"100,000 .. 200,000",52
587710,0,"100,000 .. 200,000",205
2507980,0,"100,000 .. 200,000",578
362620,0,"100,000 .. 200,000",2770
783240,0,"100,000 .. 200,000",25
2178070,0,"100,000 .. 200,000",651
280010,0,"100,000 .. 200,000",0
393930,0,"100,000 .. 200,000",341
1262460,0,"100,000 .. 200,000",1172
2204730,0,"100,000 .. 200,000",0
567380,0,"100,000 .. 200,000",126
1280700,0,"100,000 .. 200,000",0
1357870,0,"100,000 .. 200,000",148
1699480,0,"100,000 .. 200,000",337
2459550,0,"100,000 .. 200,000",818
2510960,0,"100,000 .. 200,000",495
1370410,0,"100,000 .. 200,000",0
409590,0,"100,000 .. 200,000",1582
1529110,0,"100,000 .. 200,000",500
488430,0,"100,000 .. 200,000",0
2499520,0,"100,000 .. 200,000",396
976800,0,"100,000 .. 200,000",609
2286830,0,"100,000 .. 200,000",0
709240,0,"100,000 .. 200,000",0
2307350,0,"100,000 .. 200,000",425
668170,0,"100,000 .. 200,000",122
2252680,0,"100,000 .. 200,000",83
1384060,0,"100,000 .. 200,000",0
838900,0,"100,000 .. 200,000",79
694720,0,"100,000 .. 200,000",0
955170,0,"100,000 .. 200,000",3425
587450,0,"100,000 .. 200,000",1068
2211170,0,"100,000 .. 200,000",1191
2683710,0,"100,000 .. 200,000",0
3168590,0,"100,000 .. 200,000",0
1681160,0,"100,000 .. 200,000",0
653120,0,"100,000 .. 200,000",26
2019950,0,"100,000 .. 200,000",0
1089650,0,"100,000 .. 200,000",0
1261180,0,"100,000 .. 200,000",117
529240,0,"100,000 .. 200,000",278
2205850,0,"100,000 .. 200,000",899
1257550,0,"100,000 .. 200,000",0
525460,0,"100,000 .. 200,000",193
619500,0,"100,000 .. 200,000",99
714020,0,"100,000 .. 200,000",1214
1397790,0,"100,000 .. 200,000",117
1266540,0,"100,000 .. 200,000",927
2242760,0,"100,000 .. 200,000",144
1930600,0,"100,000 .. 200,000",613
1907590,0,"100,000 .. 200,000",704
2898400,0,"100,000 .. 200,000",0
444460,0,"100,000 .. 200,000",249
1196080,0,"100,000 .. 200,000",5734
2617700,0,"100,000 .. 200,000",1245
604490,0,"100,000 .. 200,000",100
862800,0,"100,000 .. 200,000",643
374670,0,"100,000 .. 200,000",124
1844080,0,"100,000 .. 200,000",0
2067780,0,"100,000 .. 200,000",981
2707940,0,"100,000 .. 200,000",693
978620,0,"100,000 .. 200,000",0
851800,0,"100,000 .. 200,000",951
2195970,0,"100,000 .. 200,000",0
657730,0,"100,000 .. 200,000",649
903730,0,"100,000 .. 200,000",0
1737870,0,"100,000 .. 200,000",169
2566340,0,"100,000 .. 200,000",484
2124120,0,"100,000 .. 200,000",975
1436440,0,"100,000 .. 200,000",0
931270,0,"100,000 .. 200,000",485
766370,0,"100,000 .. 200,000",2022
1687530,0,"100,000 .. 200,000",167
1275370,0,"100,000 .. 200,000",0
1454700,0,"100,000 .. 200,000",0
2178990,0,"100,000 .. 200,000",67
3096650,0,"100,000 .. 200,000",0
891430,0,"100,000 .. 200,000",0
758690,0,"100,000 .. 200,000",2137
1466300,0,"100,000 .. 200,000",0
1022980,0,"100,000 .. 200,000",2338
538030,0,"100,000 .. 200,000",1148
2165440,0,"100,000 .. 200,000",0
520860,0,"100,000 .. 200,000",72
1593350,0,"100,000 .. 200,000",20259
1342340,0,"100,000 .. 200,000",72
465490,0,"100,000 .. 200,000",581
1485050,0,"100,000 .. 200,000",0
2107280,0,"100,000 .. 200,000",0
796860,0,"100,000 .. 200,000",125
3107230,0,"100,000 .. 200,000",8624
1249480,0,"100,000 .. 200,000",43
1610900,0,"100,000 .. 200,000",0
2478840,0,"100,000 .. 200,000",0
2286680,0,"100,000 .. 200,000",0
405980,0,"100,000 .. 200,000",161
1175890,0,"100,000 .. 200,000",0
1539140,0,"100,000 .. 200,000",374
2682580,0,"100,000 .. 200,000",520
2965660,0,"100,000 .. 200,000",231
1450900,0,"100,000 .. 200,000",2338
368720,0,"100,000 .. 200,000",189
1553420,0,"100,000 .. 200,000",0
2475220,0,"100,000 .. 200,000",0
1530720,0,"100,000 .. 200,000",0
378360,0,"100,000 .. 200,000",534
1461600,0,"100,000 .. 200,000",764
2198510,0,"100,000 .. 200,000",854
1397830,0,"100,000 .. 200,000",0
1588530,0,"100,000 .. 200,000",1302
2719820,0,"100,000 .. 200,000",0
1948700,0,"100,000 .. 200,000",85
1475400,0,"100,000 .. 200,000",0
2660460,0,"100,000 .. 200,000",404
1239020,0,"100,000 .. 200,000",367
1612980,0,"100,000 .. 200,000",0
1702320,0,"100,000 .. 200,000",163
2664960,0,"100,000 .. 200,000",0
1861610,0,"100,000 .. 200,000",94
2291340,0,"100,000 .. 200,000",176
1236390,0,"100,000 .. 200,000",0
1517870,0,"100,000 .. 200,000",0
644610,0,"100,000 .. 200,000",236
2854480,0,"100,000 .. 200,000",0
1420350,0,"100,000 .. 200,000",531
671970,0,"100,000 .. 200,000",323
876900,0,"100,000 .. 200,000",0
612720,0,"100,000 .. 200,000",973
1815660,0,"100,000 .. 200,000",0
1932950,0,"100,000 .. 200,000",0
2102520,0,"100,000 .. 200,000",276
1353100,0,"100,000 .. 200,000",0
884550,0,"100,000 .. 200,000",0
1425000,0,"100,000 .. 200,000",1102
1266630,0,"100,000 .. 200,000",9215
2436940,0,"100,000 .. 200,000",2837
1364290,0,"100,000 .. 200,000",319
1133870,0,"100,000 .. 200,000",281
307090,0,"100,000 .. 200,000",185
1005340,0,"100,000 .. 200,000",0
614940,0,"100,000 .. 200,000",0
1723780,0,"100,000 .. 200,000",509
1042910,0,"100,000 .. 200,000",0
1380910,0,"100,000 .. 200,000",1346
732050,0,"100,000 .. 200,000",1193
1295700,0,"100,000 .. 200,000",0
755080,0,"100,000 .. 200,000",0
347600,0,"100,000 .. 200,000",160
2195120,0,"100,000 .. 200,000",318
591790,0,"100,000 .. 200,000",429
1724140,0,"100,000 .. 200,000",238
2313330,0,"100,000 .. 200,000",1079
1451480,0,"100,000 .. 200,000",224
698870,0,"100,000 .. 200,000",529
2529170,0,"100,000 .. 200,000",350
2349090,0,"100,000 .. 200,000",0
856620,0,"100,000 .. 200,000",114
2395810,0,"100,000 .. 200,000",160
2086680,0,"100,000 .. 200,000",391
312210,0,"100,000 .. 200,000",206
574760,0,"100,000 .. 200,000",2654
2292800,0,"100,000 .. 200,000",809
685420,0,"100,000 .. 200,000",24
453000,0,"100,000 .. 200,000",45
1021670,0,"100,000 .. 200,000",1057
2657610,0,"100,000 .. 200,000",0
1062000,0,"100,000 .. 200,000",261
2738490,0,"100,000 .. 200,000",215
1414230,0,"100,000 .. 200,000",0
2192400,0,"100,000 .. 200,000",0
703970,0,"100,000 .. 200,000",0
299420,0,"100,000 .. 200,000",174
1207850,0,"100,000 .. 200,000",1200
2609610,0,"100,000 .. 200,000",43
656200,0,"100,000 .. 200,000",682
1991040,0,"100,000 .. 200,000",966
3383910,0,"100,000 .. 200,000",0
1706300,0,"100,000 .. 200,000",0
1491730,0,"100,000 .. 200,000",0
2086060,0,"100,000 .. 200,000",5
1409530,0,"100,000 .. 200,000",367
486860,0,"100,000 .. 200,000",833
3035500,0,"100,000 .. 200,000",492
3195790,0,"100,000 .. 200,000",644
2747610,0,"100,000 .. 200,000",0
2824170,0,"100,000 .. 200,000",0
1796790,0,"100,000 .. 200,000",595
1465470,0,"100,000 .. 200,000",1441
3238670,0,"100,000 .. 200,000",976
367270,0,"100,000 .. 200,000",333
2182770,0,"50,000 .. 100,000",0
3041690,0,"50,000 .. 100,000",0
1659090,0,"50,000 .. 100,000",0
1692240,0,"50,000 .. 100,000",492
2978020,0,"50,000 .. 100,000",0
1447400,0,"50,000 .. 100,000",0
1538710,0,"50,000 .. 100,000",0
1339220,0,"50,000 .. 100,000",0
3240760,0,"50,000 .. 100,000",0
463250,0,"50,000 .. 100,000",40
722670,0,"50,000 .. 100,000",122
2302990,0,"50,000 .. 100,000",2530
1337970,0,"50,000 .. 100,000",4777
2059530,0,"50,000 .. 100,000",697
2285630,0,"50,000 .. 100,000",610
2092010,0,"50,000 .. 100,000",0
2168200,0,"50,000 .. 100,000",0
2494370,0,"50,000 .. 100,000",0
895110,0,"50,000 .. 100,000",552
2780710,0,"50,000 .. 100,000",390
1879030,0,"50,000 .. 100,000",0
1286220,0,"50,000 .. 100,000",2236
1713550,0,"50,000 .. 100,000",0
703280,0,"50,000 .. 100,000",0
2687970,0,"50,000 .. 100,000",363
954870,0,"50,000 .. 100,000",1254
2680550,0,"50,000 .. 100,000",1334
1920320,0,"50,000 .. 100,000",0
920470,0,"50,000 .. 100,000",0
462100,0,"50,000 .. 100,000",104
2458310,0,"50,000 .. 100,000",81
351630,0,"50,000 .. 100,000",37
620190,0,"50,000 .. 100,000",844
566860,0,"50,000 .. 100,000",154
1419850,0,"50,000 .. 100,000",647
